Generation 1: best cost = 283, max weight = 245, best individual = [0 0 0 0 0 1 0 1 1 1]
Generation 54: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 55: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 56: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 57: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 58: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 59: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 60: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 61: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 62: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 63: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 64: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 65: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 66: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 67: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 68: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 69: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 70: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 71: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 72: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 73: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 74: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 75: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 76: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 77: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 78: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 79: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 80: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 81: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 82: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 83: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 84: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 85: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 86: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 87: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 88: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 89: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 90: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 91: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 92: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 93: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 94: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 95: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 96: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 97: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 98: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 99: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 100: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 101: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 102: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 103: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 104: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 105: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 106: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 107: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 108: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 109: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 110: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 111: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 112: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 113: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 114: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 115: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 116: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 117: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 118: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 119: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 120: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 121: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 122: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 123: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 124: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 125: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 126: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 127: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 128: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 129: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 130: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 131: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 132: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 133: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 134: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 135: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 136: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 137: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 138: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 139: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 140: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 141: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 142: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 143: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 144: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 145: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 146: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 147: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 148: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 149: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 150: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 151: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 152: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 153: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 154: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 155: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 156: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 157: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 158: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 159: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 160: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 161: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 162: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 163: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 164: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 165: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 166: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 167: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 168: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 169: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 170: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 171: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 172: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 173: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 174: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 175: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 176: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 177: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 178: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 179: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 180: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 181: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 182: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 183: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 184: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 185: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 186: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 187: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 188: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 189: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 190: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 191: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 192: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 193: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 194: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 195: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 196: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 197: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 198: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 199: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 200: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 201: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 202: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 203: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 204: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 205: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 206: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 207: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 208: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 209: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 210: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 211: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 212: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 213: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 214: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 215: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 216: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 217: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 218: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 219: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 220: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 221: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 222: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 223: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 224: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 225: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 226: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 227: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 228: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 229: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 230: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 231: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 232: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 233: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 234: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 235: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 236: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 237: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 238: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 239: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 240: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 241: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 242: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 243: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 244: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 245: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 246: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 247: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 248: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 249: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 250: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 251: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 252: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 253: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 254: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 255: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 256: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 257: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 258: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 259: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 260: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 261: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 262: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 263: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 264: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 265: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 266: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 267: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 268: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 269: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 270: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 271: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 272: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 273: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 274: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 275: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 276: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 277: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 278: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 279: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 280: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 281: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 282: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 283: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 284: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 285: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 286: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 287: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 288: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 289: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 290: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 291: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 292: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 293: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 294: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 295: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 296: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 297: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 298: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 299: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 300: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Best subset of objects: [2, 3, 4, 8, 9, 10]
Total cost: 295
Total weight: 269
